best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_PR-AUC,test_accuracy,val_AUC-ROC,val_PR-AUC,val_accuracy,wall_time_sec
,v2ft_microsoft_Phi-3.5-mini-instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.978453,0.981621,0.854269,,,,2061.6
,v2ft_microsoft_Phi-3.5-mini-instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.872325,0.864893,0.77662,,,,5345.7
,v2ft_microsoft_Phi-3.5-mini-instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.525854,0.551752,0.539252,,,,702.7
,v2ft_microsoft_Phi-3.5-mini-instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.982162,0.984347,0.911425,,,,3233.2
,v2ft_microsoft_Phi-3.5-mini-instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.862202,0.859967,0.77304,,,,8169.9
,v2ft_microsoft_Phi-3.5-mini-instruct_ideal_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.620735,0.636276,0.549721,,,,1050.7
,v2ft_Qwen_Qwen2.5-3B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.979202,0.981398,0.907539,,,,8454.8
,v2ft_Qwen_Qwen2.5-3B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.884651,0.878918,0.79082,,,,21738.7
,v2ft_google_gemma-2-2b-it_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.979107,0.982037,0.907824,,,,15338.5
,v2ft_Qwen_Qwen2.5-3B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.582025,0.568434,0.576019,,,,2788.0
,v2ft_google_gemma-2-2b-it_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.872509,0.859062,0.79051,,,,37602.1
,v2ft_google_gemma-2-2b-it_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.464171,0.505683,0.466735,,,,5021.7
,v2ft_microsoft_phi-4_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.98345,0.985854,0.927433,,,,6158.5
,v2ft_microsoft_phi-4_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.876398,0.861108,0.79589,,,,15823.6
,v2ft_microsoft_phi-4_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.463414,0.503897,0.488371,,,,2051.2
,v2ft_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S0,0.975057,0.978341,0.905527,,,,8737.0
,v2ft_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S1,0.891651,0.882728,0.787075,,,,22694.7
,v2ft_Qwen_Qwen2.5-14B-Instruct_real_seed42,AUC-ROC(LLM-zs),ddibn,,,S2,0.616565,0.603197,0.578183,,,,2933.5
