best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_PR-AUC,test_accuracy,val_AUC-ROC,val_PR-AUC,val_accuracy,wall_time_sec
,phi35_zs_real,AUC-ROC(LLM-zs),ddibn,,,S0,0.480663,0.507076,0.500022,,,,1506.6
,phi35_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S0,0.509967,0.518128,0.499636,,,,1715.4
,phi35_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S0,0.523979,0.531563,0.500292,,,,1809.1
,phi35_zs_real,AUC-ROC(LLM-zs),ddibn,,,S2,0.358212,0.448164,0.5,,,,514.0
,phi35_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S2,0.540038,0.5832,0.50016,,,,567.2
,phi35_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S2,0.521736,0.535932,0.498673,,,,594.5
,phi35_zs_real,AUC-ROC(LLM-zs),ddibn,,,S1,0.429712,0.455133,0.499973,,,,3930.9
,phi35_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S1,0.494796,0.500747,0.499903,,,,4327.1
,phi35_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S1,0.522503,0.517447,0.499939,,,,4589.3
,phi4_zs_real,AUC-ROC(LLM-zs),ddibn,,,S0,0.487356,0.495866,0.499889,,,,4200.1
,phi4_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S0,0.505371,0.528884,0.501864,,,,4707.6
,phi4_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S0,0.493032,0.52346,0.5019,,,,4920.2
,phi4_zs_real,AUC-ROC(LLM-zs),ddibn,,,S2,0.492774,0.535592,0.5,,,,1433.0
,phi4_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S2,0.53671,0.569372,0.500865,,,,1552.1
,phi4_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S2,0.514833,0.540541,0.500387,,,,1626.2
,phi4_zs_real,AUC-ROC(LLM-zs),ddibn,,,S1,0.449203,0.471428,0.499874,,,,10841.6
,phi4_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S1,0.515682,0.521802,0.500863,,,,12001.3
,phi4_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S1,0.493866,0.507457,0.500247,,,,12577.3
,gemma2b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S0,0.453692,0.481183,0.499885,,,,8543.7
,gemma2b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S0,0.48029,0.495916,0.5,,,,9315.5
,gemma2b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S0,0.440941,0.479061,0.499918,,,,9628.9
,gemma2b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S2,0.575991,0.608994,0.500218,,,,3019.5
,gemma2b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S2,0.590398,0.59766,0.5,,,,2988.6
,gemma2b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S2,0.556455,0.573414,0.500522,,,,3304.6
,qwen3b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S0,0.551928,0.539691,0.5,,,,4907.3
,qwen3b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S0,0.498317,0.505485,0.5,,,,4987.2
,qwen3b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S0,0.494163,0.502756,0.50002,,,,6055.7
,qwen3b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S2,0.623586,0.639019,0.5,,,,1612.9
,qwen3b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S2,0.573993,0.61105,0.499904,,,,1635.9
,qwen3b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S2,0.558834,0.589099,0.5,,,,1998.5
,qwen3b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S1,0.494449,0.49994,0.5,,,,13102.1
,qwen3b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S1,0.523282,0.52727,0.5,,,,13067.2
,qwen3b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S1,0.5073,0.510001,0.5,,,,15509.0
,qwen14b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S0,0.52103,0.530252,0.5,,,,6912.8
,qwen14b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S0,0.514963,0.526324,0.500216,,,,7137.5
,qwen14b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S0,0.449651,0.48697,0.500277,,,,7690.0
,qwen14b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S2,0.562604,0.590989,0.5,,,,2681.0
,qwen14b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S2,0.508619,0.531568,0.499841,,,,2634.1
,qwen14b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S2,0.581219,0.59721,0.500197,,,,2843.0
,qwen14b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S1,0.451193,0.479872,0.5,,,,18851.7
,qwen14b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S1,0.522737,0.53062,0.500022,,,,18712.2
,gemma27b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S1,0.504502,0.509145,0.502961,,,,27496.8
,qwen14b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S1,0.498561,0.506031,0.500309,,,,20018.2
,gemma27b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S1,0.502273,0.505172,0.496458,,,,29995.6
,gemma27b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S1,0.503964,0.508798,0.499288,,,,31947.9
,gemma27b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S0,0.51008,0.523173,0.503649,,,,10763.0
,gemma27b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S2,0.509773,0.539586,0.502866,,,,3611.5
,gemma2b_zs_real,AUC-ROC(LLM-zs),ddibn,,,S1,0.532307,0.535655,0.5,,,,23745.8
,gemma2b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S1,0.464002,0.48726,0.499934,,,,24236.8
,gemma2b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S1,0.498101,0.509989,0.499896,,,,26992.6
,gemma27b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S0,0.512583,0.523055,0.504879,,,,11160.0
,gemma27b_zs_genes,AUC-ROC(LLM-zs),ddibn,,,S2,0.4949,0.526291,0.491817,,,,3654.7
,gemma27b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S0,0.522002,0.534351,0.512489,,,,10882.5
,gemma27b_zs_ideal,AUC-ROC(LLM-zs),ddibn,,,S2,0.520687,0.542385,0.498602,,,,3724.7
