best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_PR-AUC,test_accuracy,val_AUC-ROC,val_PR-AUC,val_accuracy,wall_time_sec
,v1zs_qwen,AUC-ROC(LLM-zs),ddibn,,,S0,0.500831,0.50204,0.500831,,,,568.6
,v1zs_phi,AUC-ROC(LLM-zs),ddibn,,,S0,0.500966,0.501428,0.500966,,,,948.0
,v1zs_gemma,AUC-ROC(LLM-zs),ddibn,,,S0,0.49805,0.501383,0.49805,,,,1071.8
,v1zs_qwen,AUC-ROC(LLM-zs),ddibn,,,S1,0.500217,0.500885,0.500217,,,,1426.2
,v1zs_qwen,AUC-ROC(LLM-zs),ddibn,,,S2,0.499653,0.50252,0.499653,,,,211.2
,v1zs_phi,AUC-ROC(LLM-zs),ddibn,,,S1,0.499799,0.500436,0.499799,,,,2458.1
,v1zs_phi,AUC-ROC(LLM-zs),ddibn,,,S2,0.4992,0.50119,0.4992,,,,340.6
,v1zs_gemma,AUC-ROC(LLM-zs),ddibn,,,S1,0.495815,0.498999,0.495815,,,,2740.9
,v1zs_gemma,AUC-ROC(LLM-zs),ddibn,,,S2,0.498653,0.504771,0.498653,,,,359.9
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S0,0.91025,0.876324,0.91025,,,,507.1
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S1,0.738424,0.699262,0.738424,,,,1286.4
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S2,0.557618,0.542618,0.557618,,,,182.2
,v1ft_phi,AUC-ROC(LLM-zs),ddibn,,,S0,0.880253,0.857359,0.880253,,,,384.6
,v1ft_gemma,AUC-ROC(LLM-zs),ddibn,,,S0,0.918206,0.906336,0.918206,,,,880.3
,v1ft_phi,AUC-ROC(LLM-zs),ddibn,,,S1,0.647915,0.630831,0.647915,,,,1038.0
,v1ft_phi,AUC-ROC(LLM-zs),ddibn,,,S2,0.503601,0.509183,0.503601,,,,149.8
,v1ft_gemma,AUC-ROC(LLM-zs),ddibn,,,S1,0.673278,0.650022,0.673278,,,,2190.6
,v1ft_gemma,AUC-ROC(LLM-zs),ddibn,,,S2,0.50794,0.512058,0.50794,,,,313.2
