best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
73,01,accuracy,ddibn,205279,124,S0,0.970393,0.985742,0.912028,0.974372,0.908507,0.909526,0.967128,0.970718,0.90934,0.968997,0.907257,0.908784,1306.7
74,01,accuracy,ddibn,205279,124,S1,0.826735,0.889569,0.750746,0.811309,0.750791,0.752067,0.832785,0.923923,0.750329,0.827903,0.749481,0.746427,1306.7
38,01,accuracy,ddibn,205279,124,S2,0.426687,0.493971,0.459824,0.455077,0.470589,0.484547,0.462236,0.497033,0.496815,0.476306,0.49979,0.509278,1306.7
94,01,accuracy,ddibn,205279,0,S0,0.975834,0.98823,0.91722,0.979095,0.910107,0.912065,0.975345,0.978182,0.924801,0.978216,0.922423,0.923042,1655.2
79,01,accuracy,ddibn,205279,0,S1,0.818432,0.845933,0.747622,0.775655,0.750956,0.761964,0.822427,0.829761,0.748967,0.77226,0.749192,0.756903,1655.2
4,01,accuracy,ddibn,205279,0,S2,0.419397,0.504019,0.434288,0.440791,0.542806,0.644751,0.402345,0.498565,0.432782,0.432097,0.520919,0.623323,1655.2
44,02,accuracy,ddibn,523986,0,S0,0.987222,0.993206,0.944255,0.98864,0.94536,0.944867,0.984398,0.98823,0.944235,0.98702,0.943196,0.942659,858.4
8,02,accuracy,ddibn,523986,0,S1,0.891404,0.959139,0.812008,0.891481,0.809022,0.797744,0.894903,0.970718,0.808812,0.899651,0.807803,0.793429,858.4
8,02,accuracy,ddibn,523986,0,S2,0.597598,0.508804,0.576521,0.639279,0.558268,0.466921,0.632648,0.516268,0.576878,0.67273,0.585981,0.48537,858.4
35,02,accuracy,ddibn,523986,42,S0,0.987026,0.993971,0.942114,0.988671,0.942602,0.942442,0.984993,0.987464,0.944376,0.987296,0.944414,0.944618,734.8
26,02,accuracy,ddibn,523986,42,S1,0.906438,0.944211,0.827915,0.892962,0.826754,0.82261,0.914573,0.976364,0.831482,0.913231,0.828686,0.823248,734.8
5,02,accuracy,ddibn,523986,42,S2,0.63372,0.527943,0.581397,0.64183,0.591228,0.618055,0.670176,0.528325,0.618954,0.667641,0.621053,0.643071,734.8
147,01,accuracy,ddibn,205279,42,S0,0.974295,0.985742,0.918085,0.977692,0.91124,0.912676,0.970011,0.973684,0.91351,0.973349,0.911838,0.912126,2454.0
142,01,accuracy,ddibn,205279,42,S1,0.850575,0.90823,0.766267,0.84109,0.765955,0.766759,0.864431,0.959234,0.789128,0.866801,0.789097,0.789036,2454.0
130,01,accuracy,ddibn,205279,42,S2,0.535141,0.501722,0.533026,0.573591,0.52644,0.475182,0.525809,0.496746,0.51211,0.570017,0.526134,0.475439,2454.0
23,02,accuracy,ddibn,523986,124,S0,0.985458,0.993876,0.941567,0.987252,0.939249,0.939354,0.983024,0.98823,0.942206,0.98623,0.941288,0.941285,534.7
11,02,accuracy,ddibn,523986,124,S1,0.897771,0.93512,0.812524,0.883636,0.810476,0.809034,0.905085,0.958278,0.822283,0.898321,0.820776,0.817935,534.7
6,02,accuracy,ddibn,523986,124,S2,0.638138,0.524402,0.58984,0.644398,0.585602,0.568423,0.673917,0.526699,0.614209,0.69165,0.612076,0.575373,534.7
84,03,accuracy,ddibn,339416,42,S0,0.910082,0.915789,0.839552,0.899068,0.833872,0.841415,0.920842,0.914067,0.851882,0.917636,0.851682,0.855265,1321.8
79,03,accuracy,ddibn,339416,42,S1,0.778986,0.716746,0.718306,0.711998,0.72846,0.746498,0.80218,0.771675,0.741799,0.746594,0.744309,0.76178,1321.8
20,03,accuracy,ddibn,339416,42,S2,0.534859,0.515407,0.522101,0.522862,0.560172,0.66204,0.500554,0.514067,0.505577,0.496891,0.564785,0.677797,1321.8
,v1zs_llama8b,AUC-ROC(LLM-zs),ddibn,,,S0,0.509244,0.506962,0.509244,,,,535.2
57,04,accuracy,ddibn,207569,0,S0,0.986249,0.994163,0.943654,0.988081,0.94682,0.946162,0.983354,0.986507,0.943009,0.985915,0.944841,0.944339,335.0
