best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
30,11,accuracy,ddibn,1799881,42,S0,0.989869,0.99512,0.95181,0.99103,0.951769,0.951711,0.986989,0.988995,0.94865,0.989062,0.948136,0.948167,5413.3
35,11,accuracy,ddibn,1799881,42,S1,0.89982,0.955981,0.819948,0.894204,0.519742,0.074266,0.903181,0.971962,0.821391,0.899979,0.520088,0.075754,5413.3
1,11,accuracy,ddibn,1799881,42,S2,0.401855,0.477129,0.427102,0.487025,0.5,0.0,0.457649,0.491962,0.466291,0.523842,0.5,0.0,5413.3
48,11,accuracy,ddibn,1799881,0,S0,0.990697,0.995311,0.95184,0.991728,0.950877,0.951173,0.9884,0.990144,0.951406,0.990296,0.950905,0.951073,7138.9
50,11,accuracy,ddibn,1799881,0,S1,0.90326,0.96201,0.822496,0.899153,0.517919,0.066448,0.90554,0.978182,0.822358,0.903747,0.516687,0.061921,7138.9
1,11,accuracy,ddibn,1799881,0,S2,0.461829,0.496651,0.478937,0.49922,0.5,0.0,0.534626,0.505263,0.529155,0.566994,0.5,0.0,7138.9
17,09,accuracy,ddibn,340817,0,S0,0.986143,0.993014,0.941737,0.987855,0.939779,0.940444,0.982063,0.986507,0.932885,0.984727,0.932032,0.932592,2201.9
1,09,accuracy,ddibn,340817,0,S1,0.567394,0.641148,0.553625,0.583153,0.5,0.0,0.56936,0.65311,0.550357,0.587043,0.5,0.0,2201.9
1,09,accuracy,ddibn,340817,0,S2,0.538404,0.510526,0.524492,0.575866,0.5,0.0,0.552713,0.508995,0.536073,0.588827,0.5,0.0,2201.9
11,09,accuracy,ddibn,340817,42,S0,0.983938,0.987273,0.943313,0.984889,0.942333,0.941578,0.982506,0.987943,0.93633,0.985846,0.935433,0.934523,1721.8
1,09,accuracy,ddibn,340817,42,S1,0.51377,0.510431,0.510672,0.517528,0.5,0.0,0.546578,0.536268,0.537099,0.539222,0.5,0.0,1721.8
1,09,accuracy,ddibn,340817,42,S2,0.45879,0.494737,0.470764,0.503149,0.5,0.0,0.499258,0.501053,0.506047,0.53581,0.5,0.0,1721.8
44,11,accuracy,ddibn,1799881,124,S0,0.991073,0.996555,0.952814,0.992232,0.951795,0.952146,0.988353,0.990144,0.950778,0.990218,0.949542,0.949947,6528.9
38,11,accuracy,ddibn,1799881,124,S1,0.904185,0.960861,0.823272,0.899131,0.52353,0.087406,0.906896,0.975885,0.824552,0.905103,0.522857,0.084865,6528.9
1,11,accuracy,ddibn,1799881,124,S2,0.509679,0.504785,0.511243,0.534655,0.5,0.0,0.510159,0.504593,0.511404,0.536549,0.5,0.0,6528.9
17,09,accuracy,ddibn,340817,124,S0,0.985864,0.992727,0.941264,0.987759,0.942666,0.942294,0.98432,0.987943,0.941408,0.986907,0.942058,0.942073,2216.9
1,09,accuracy,ddibn,340817,124,S1,0.485291,0.430909,0.493744,0.483047,0.5,0.0,0.515332,0.457321,0.516318,0.501167,0.5,0.0,2216.9
1,09,accuracy,ddibn,340817,124,S2,0.521814,0.510239,0.518953,0.528678,0.5,0.0,0.564962,0.51378,0.554157,0.57761,0.5,0.0,2216.9
85,10,accuracy,ddibn,401618,0,S0,0.9805,0.991483,0.932037,0.983953,0.93258,0.930251,0.977979,0.985455,0.92954,0.981918,0.929432,0.927844,1639.4
65,10,accuracy,ddibn,401618,0,S1,0.568507,0.64622,0.54494,0.584066,0.501579,0.007544,0.588464,0.649378,0.562738,0.590577,0.502485,0.010276,1639.4
66,10,accuracy,ddibn,401618,0,S2,0.472479,0.489378,0.486265,0.523168,0.504449,0.03458,0.504519,0.498373,0.519581,0.536077,0.502327,0.018288,1639.4
89,10,accuracy,ddibn,401618,42,S0,0.977274,0.990622,0.92475,0.981182,0.924299,0.921283,0.974115,0.980191,0.917176,0.978225,0.922923,0.91947,1711.2
63,10,accuracy,ddibn,401618,42,S1,0.609607,0.548038,0.592096,0.577034,0.503208,0.017759,0.608112,0.546986,0.588547,0.57606,0.503537,0.018665,1711.2
56,10,accuracy,ddibn,401618,42,S2,0.490645,0.498565,0.494988,0.513545,0.491841,0.100083,0.526198,0.502871,0.505352,0.542447,0.52418,0.158426,1711.2
126,10,accuracy,ddibn,401618,124,S0,0.976463,0.989952,0.92098,0.980387,0.919933,0.918746,0.970257,0.97244,0.917039,0.97325,0.919957,0.918489,2378.2
9,10,accuracy,ddibn,401618,124,S1,0.5551,0.682967,0.537869,0.587999,0.500261,0.001467,0.560697,0.690526,0.540983,0.595192,0.500425,0.001691,2378.2
87,10,accuracy,ddibn,401618,124,S2,0.582907,0.522679,0.559477,0.558334,0.499918,0.000228,0.551282,0.510431,0.544226,0.540683,0.500092,0.000354,2378.2
